id,cif_path,target
8056830,part_1\8056830-(id_167611).cif,14.555849663429159
8067418,part_1\8067418-(id_167648).cif,8.447166798133178
8078629,part_1\8078629-(id_167649).cif,11.211589472988278
8080784,part_1\8080784-(id_167612).cif,5.511220486751135
8084708,part_1\8084708-(id_167650).cif,9.59580207859382
8087188,part_1\8087188-(id_167613).cif,7.549275436116307
8133379,part_1\8133379-(id_167651).cif,6.176508671572029
8194023,part_1\8194023-(id_167652).cif,8.05661527871943
8206103,part_1\8206103-(id_167614).cif,8.645593730565063
8206155,part_1\8206155-(id_167615).cif,6.658188354257737
8206186,part_1\8206186-(id_167616).cif,7.479070733700896
8214411,part_1\8214411-(id_167617).cif,6.370888228335099
8255418,part_1\8255418-(id_167618).cif,9.761549399189985
8265201,part_1\8265201-(id_167619).cif,11.07999384363163
8265611,part_1\8265611-(id_167620).cif,9.220639258311952
8265828,part_1\8265828-(id_167621).cif,7.1017547098472
8267423,part_1\8267423-(id_167622).cif,6.491121799360351
8268490,part_1\8268490-(id_167623).cif,6.862132156904927
8268600,part_1\8268600-(id_167653).cif,7.023561848994376
8268700,part_1\8268700-(id_167624).cif,5.494374660282855
8274307,part_1\8274307-(id_167625).cif,6.69308741412935
8283850,part_1\8283850-(id_167626).cif,6.85422264594508
8286937,part_1\8286937-(id_167654).cif,11.957730582467864
8287056,part_1\8287056-(id_167655).cif,7.452830086089551
8287620,part_1\8287620-(id_167627).cif,6.770286362319707
8287803,part_1\8287803-(id_167628).cif,6.8241852114693575
8289148,part_1\8289148-(id_167629).cif,5.887229523410795
8289716,part_1\8289716-(id_167630).cif,8.033041642399784
8292668,part_1\8292668-(id_167631).cif,10.065275601961012
8292962,part_1\8292962-(id_167632).cif,8.267922503208784
8293280,part_1\8293280-(id_167633).cif,6.561102834159568
8298667,part_1\8298667-(id_167656).cif,6.823669838492738
8301472,part_1\8301472-(id_167657).cif,5.975191820043908
8307693,part_1\8307693-(id_167658).cif,12.346461291786833
8312155,part_1\8312155-(id_167634).cif,9.05508507578555
8312223,part_1\8312223-(id_167635).cif,9.05854274540108
8312978,part_1\8312978-(id_167659).cif,9.639370903641682
8313037,part_1\8313037-(id_167636).cif,8.401300250744345
8313042,part_1\8313042-(id_167637).cif,8.397260770482658
8315144,part_1\8315144-(id_167638).cif,8.085980795113125
8315436,part_1\8315436-(id_167660).cif,10.228625999734437
8315703,part_1\8315703-(id_167661).cif,8.126664994619626
8316304,part_1\8316304-(id_167662).cif,8.564950994998927
8316376,part_1\8316376-(id_167663).cif,13.410215685786786
8317141,part_1\8317141-(id_167664).cif,6.4601243796854515
8317769,part_1\8317769-(id_167665).cif,7.050063182672393
8318323,part_1\8318323-(id_167666).cif,15.771069311799067
